7zip 24.09+dfsg-8
libgtkmm-3.0-1t64:amd64 3.24.10-1
libgtksourceview-4-0:amd64 4.8.4-6
libgtksourceview-4-common 4.8.4-6
libgtop-2.0-11:amd64 2.41.3-1+b2
libgtop2-common 2.41.3-1
libgts-0.7-5t64:amd64 0.7.6+darcs121130-5.2+b1
libgts-bin 0.7.6+darcs121130-5.2+b1
libgucharmap-2-90-7:amd64 1:15.1.5-1+b1
libgudev-1.0-0:amd64 238-6
libgumbo3:amd64 0.13.0+dfsg-2
libgupnp-1.6-0:amd64 1.6.8-2
libgupnp-igd-1.6-0:amd64 1.6.0-4+b1
libgusb2:amd64 0.4.9-1+b1
libgvc6 2.42.4-3
libgvpr2:amd64 2.42.4-3
libgxps2t64:amd64 0.3.2-4+b2
libhandy-1-0:amd64 1.8.3-2
libharfbuzz-gobject0:amd64 10.2.0-1+b1
libharfbuzz-icu0:amd64 10.2.0-1+b1
libharfbuzz-subset0:amd64 10.2.0-1+b1
libharfbuzz0b:amd64 10.2.0-1+b1
libheif-plugin-aomenc:amd64 1.19.8-1
libheif-plugin-dav1d:amd64 1.19.8-1
libheif-plugin-libde265:amd64 1.19.8-1
libheif-plugin-x265:amd64 1.19.8-1
libheif1:amd64 1.19.8-1
libhidapi-hidraw0:amd64 0.14.0-1+b2
libhogweed6t64:amd64 3.10.1-1
libhtml-form-perl 6.12-1
libhtml-format-perl 2.16-2
libhtml-parser-perl:amd64 3.83-1+b2
libhtml-tagset-perl 3.24-1
libhtml-tree-perl 5.07-3
libhttp-cookies-perl 6.11-1
libhttp-daemon-perl 6.16-1
libhttp-date-perl 6.06-1
libhttp-message-perl 7.00-2
libhttp-negotiate-perl 6.01-2
libhunspell-1.7-0:amd64 1.7.2+really1.7.2-10+b4
libhwasan0:amd64 14.2.0-19
libhwy1t64:amd64 1.2.0-2+b2
libhyphen0:amd64 2.8.8-7+b2
libibverbs1:amd64 56.1-1
libice6:amd64 2:1.1.1-1
libicu76:amd64 76.1-4
libidn12:amd64 1.43-1
libidn2-0:amd64 2.3.8-2
libiec61883-0:amd64 1.2.0-7
libieee1284-3t64:amd64 0.2.11-14.1+b1
libigdgmm12:amd64 22.7.2+ds1-1
libijs-0.35:amd64 0.35-15.2
libimagequant0:amd64 2.18.0-1+b2
libimath-3-1-29t64:amd64 3.1.12-1+b3
libime-bin 1.1.10+dict20250327-1
libime-data 1.1.10+dict20250327-1
libime-data-language-model:amd64 1.1.10+dict20250327-1
libimecore0:amd64 1.1.10+dict20250327-1
libimepinyin0:amd64 1.1.10+dict20250327-1
libimetable0:amd64 1.1.10+dict20250327-1
libimobiledevice-1.0-6:amd64 1.3.0+git20250228-2
libimobiledevice-glue-1.0-0 1.3.1-1
libimport-into-perl 1.002005-2
libinih1:amd64 59-1
libinireader0:amd64 59-1
libinput-bin 1.28.1-1
libinput10:amd64 1.28.1-1
libinstpatch-1.0-2:amd64 1.1.6-1+b2
libio-compress-brotli-perl 0.004001-2+b3
libio-html-perl 1.004-3
libio-socket-ssl-perl 2.089-1
libio-stringy-perl 2.113-2
libip4tc2:amd64 1.8.11-2
libip6tc2:amd64 1.8.11-2
libipc-system-simple-perl 1.30-2
libipt2 2.1.2-1
libiscsi7:amd64 1.20.0-4
libisl23:amd64 0.27-1
libisoburn1t64:amd64 1.5.6-1.2+b1
libisofs6t64:amd64 1.5.6.pl01-1.1+b1
libitm1:amd64 14.2.0-19
libiw30t64:amd64 30~pre9-18+b1
libjack-jackd2-0:amd64 1.9.22~dfsg-4
libjansson4:amd64 2.14-2+b3
libjavascriptcoregtk-4.1-0:amd64 2.48.3-1
libjbig0:amd64 2.1-6.1+b2
libjbig2dec0:amd64 0.20-1+b3
libjcode-pm-perl 2.06-1.1
libjemalloc2:amd64 5.3.0-3
libjim0.83:amd64 0.83-2
libjpeg62-turbo:amd64 1:2.1.5-4
libjs-jquery 3.6.1+dfsg+~3.5.14-1
libjs-mathjax 2.7.9+dfsg-1
libjs-sphinxdoc 8.1.3-5
libjs-underscore 1.13.4~dfsg+~1.11.4-3
libjson-c5:amd64 0.18+ds-1
libjson-glib-1.0-0:amd64 1.10.6+ds-2
libjson-glib-1.0-common 1.10.6+ds-2
libjson-perl 4.10000-1
libjson-xs-perl 4.030-2+b5
libjte2:amd64 1.22-4+b2
libjxl0.11:amd64 0.11.1-4
libjxr-tools 1.2~git20170615.f752187-5.3
libjxr0t64:amd64 1.2~git20170615.f752187-5.3
libk5crypto3:amd64 1.21.3-5
libkeyutils1:amd64 1.6.3-6
libkf6dbusaddons-bin 6.13.0-1
libkf6dbusaddons-data 6.13.0-1
libkf6dbusaddons6:amd64 6.13.0-1
libkf6itemviews-data 6.13.0-1
libkf6itemviews6:amd64 6.13.0-1
libkf6widgetsaddons-data 6.13.0-1
libkf6widgetsaddons6:amd64 6.13.0-1
libkf6windowsystem-data 6.13.0-2
libkf6windowsystem6:amd64 6.13.0-2
libklibc:amd64 2.0.14-1
libkmod2:amd64 34.2-2
libkpathsea6:amd64 2024.20240313.70630+ds-6
libkrb5-3:amd64 1.21.3-5
libkrb5support0:amd64 1.21.3-5
libksba8:amd64 1.6.7-2+b1
liblab-gamut1:amd64 2.42.4-3
liblangtag-common 0.6.7-1
liblangtag1:amd64 0.6.7-1+b2
liblapack3:amd64 3.12.1-6
liblastlog2-2:amd64 2.41-5
liblc3-1:amd64 1.1.3+dfsg-1
liblcms2-2:amd64 2.16-2
libldacbt-abr2:amd64 2.0.2.3+git20200429+ed310a0-5
libldacbt-enc2:amd64 2.0.2.3+git20200429+ed310a0-5
libldap-common 2.6.10+dfsg-1
libldap2:amd64 2.6.10+dfsg-1
libldb2:amd64 2:2.11.0+samba4.22.3+dfsg-4
liblerc4:amd64 4.0.0+ds-5
liblightdm-gobject-1-0:amd64 1.32.0-6+b2
liblilv-0-0:amd64 0.24.26-1
libllvm19:amd64 1:19.1.7-3+b1
liblmdb0:amd64 0.9.31-1+b2
liblocale-gettext-perl 1.07-7+b1
liblockfile-bin 1.17-2
liblognorm5:amd64 2.0.6-5
liblouis-data 3.33.0-1
liblouis20:amd64 3.33.0-1
liblouisutdml-bin 2.12.0-7
liblouisutdml-data 2.12.0-7
liblouisutdml9t64:amd64 2.12.0-7
liblqr-1-0:amd64 0.4.2-2.1+b2
liblrdf0:amd64 0.6.1-4+b2
liblsan0:amd64 14.2.0-19
liblsof0 4.99.4+dfsg-2
libltc11:amd64 1.3.2-1+b2
libltdl-dev:amd64 2.5.4-4
libltdl7:amd64 2.5.4-4
liblua5.3-0:amd64 5.3.6-2+b4
liblua5.4-0:amd64 5.4.7-1+b2
liblwp-mediatypes-perl 6.04-2
liblwp-protocol-https-perl 6.14-1
liblz4-1:amd64 1.10.0-4
liblzma5:amd64 5.8.1-1
liblzo2-2:amd64 2.10-3+b1
libmagic-mgc 1:5.46-5
libmagic1t64:amd64 1:5.46-5
libmagickcore-7.q16-10:amd64 8:7.1.1.43+dfsg1-1
libmagickcore-7.q16-10-extra:amd64 8:7.1.1.43+dfsg1-1
libmagickwand-7.q16-10:amd64 8:7.1.1.43+dfsg1-1
libmailtools-perl 2.22-1
libmanette-0.2-0:amd64 0.2.12-1
libmarco-private2:amd64 1.26.2-4.1
libmarisa0:amd64 0.2.6-19
libmate-desktop-2-17t64:amd64 1.26.2-1.2
libmate-menu2:amd64 1.26.1-1+b2
libmate-panel-applet-4-1:amd64 1.27.1-4.1
libmate-slab0t64:amd64 1.26.1-1.1+b4
libmate-window-settings1t64:amd64 1.26.1-1.1+b4
libmatedict6 1.26.1-1+b3
libmatekbd-common 1.26.1-1
libmatekbd4:amd64 1.26.1-1+b2
libmatemixer-common 1.26.1-1
libmatemixer0:amd64 1.26.1-1+b2
libmateweather-common 1.26.3-4
libmateweather1t64:amd64 1.26.3-4
libmaxminddb0:amd64 1.12.2-1
libmbedcrypto16:amd64 3.6.4-2
libmbim-glib4:amd64 1.32.0-1
libmbim-proxy 1.32.0-1
libmbim-utils 1.32.0-1
libmd0:amd64 1.1.0-2+b1
libmd4c0:amd64 0.5.2-2+b1
libmhash2:amd64 0.9.9.9-10
libminizip1t64:amd64 1:1.3.dfsg+really1.3.1-1+b1
libmjpegutils-2.1-0t64:amd64 1:2.1.0+debian-8.1+b1
libmm-glib0:amd64 1.24.0-1
libmnl0:amd64 1.0.5-3
libmodplug1:amd64 1:0.8.9.0-3+b2
libmodule-implementation-perl 0.09-2
libmodule-runtime-perl 0.018-1
libmoo-perl 2.005005-1
libmotif-common 2.3.8-4
libmount1:amd64 2.41-5
libmp3lame0:amd64 3.100-6+b3
libmpc3:amd64 1.3.1-1+b3
libmpcdec6:amd64 2:0.1~r495-3
libmpeg2-4:amd64 0.5.1-9+b3
libmpeg2encpp-2.1-0t64:amd64 1:2.1.0+debian-8.1+b1
libmpfi0:amd64 1.5.4+ds-4
libmpfr6:amd64 4.2.2-1
libmpg123-0t64:amd64 1.32.10-1
libmplex2-2.1-0t64:amd64 1:2.1.0+debian-8.1+b1
libmsgraph-1-1:amd64 0.3.3-3
libmspub-0.1-1:amd64 0.1.4-3+b5
libmtdev1t64:amd64 1.1.7-1
libmtp-common 1.1.22-1
libmtp-runtime 1.1.22-1
libmtp9t64:amd64 1.1.22-1
libmujs3:amd64 1.3.6-1
libmupdf25.1 1.25.1+ds1-6
libmwaw-0.3-3:amd64 0.3.22-1+b2
libmypaint-1.5-1:amd64 1.6.0-4
libmypaint-common 1.6.0-4
libmysofa1:amd64 1.3.3+dfsg-1
libmythes-1.2-0:amd64 2:1.2.5-1+b2
libnamespace-clean-perl 0.27-2
libncurses-dev:amd64 6.5+20250216-2
libncurses6:amd64 6.5+20250216-2
libncursesw6:amd64 6.5+20250216-2
libndctl6:amd64 81-1
libndp0:amd64 1.9-1+b1
libneon27t64:amd64 0.34.2-1
libnet-dbus-perl 1.2.0-2+b3
libnet-http-perl 6.23-1
libnet-smtp-ssl-perl 1.04-2
libnet-ssleay-perl:amd64 1.94-3
libnetfilter-conntrack3:amd64 1.1.0-1
libnettle8t64:amd64 3.10.1-1
libnewt0.52:amd64 0.52.25-1
libnfnetlink0:amd64 1.0.2-3
libnfs14:amd64 5.0.2-1+b2
libnftables1:amd64 1.1.3-1
libnftnl11:amd64 1.2.9-1
libnghttp2-14:amd64 1.64.0-1.1
libnghttp3-9:amd64 1.8.0-1
libngtcp2-16:amd64 1.11.0-1
libngtcp2-crypto-gnutls8:amd64 1.11.0-1
libnice10:amd64 0.1.22-1
libnl-3-200:amd64 3.7.0-2
libnl-genl-3-200:amd64 3.7.0-2
libnl-route-3-200:amd64 3.7.0-2
libnm0:amd64 1.52.1-1
libnma-common 1.10.6-5
libnma0:amd64 1.10.6-5
libnorm1t64:amd64 1.5.9+dfsg-3.1+b2
libnotify4:amd64 0.8.6-1
libnpth0t64:amd64 1.8-3
libnspr4:amd64 2:4.36-1
libnss-mdns:amd64 0.15.1-4+b1
libnss-systemd:amd64 257.7-1
libnss3:amd64 2:3.110-1
libntfs-3g89t64:amd64 1:2022.10.3-5
libnuma1:amd64 2.0.19-1
libnumbertext-1.0-0:amd64 1.0.11-4+b2
libnumbertext-data 1.0.11-4
libnvme1t64 1.13-2
libobjc-14-dev:amd64 14.2.0-19
libobjc4:amd64 14.2.0-19
libodfgen-0.1-1:amd64 0.1.8-2+b2
libogg0:amd64 1.3.5-3+b2
libole-storage-lite-perl 0.22-1
libonnx1t64:amd64 1.17.0-3+b1
libonnxruntime1.21:amd64 1.21.0+dfsg-1
libopenal-data 1:1.24.2-1
libopenal1:amd64 1:1.24.2-1
libopencc-data 1.1.9+ds1-1
libopencc1.1 1.1.9+ds1-1+b1
libopencore-amrnb0:amd64 0.1.6-1+b2
libopencore-amrwb0:amd64 0.1.6-1+b2
libopenexr-3-1-30:amd64 3.1.13-2
libopenfec1:amd64 1.4.2.11+dfsg-1
libopengl0:amd64 1.7.0-1+b2
libopenh264-8:amd64 2.6.0+dfsg-2
libopenjp2-7:amd64 2.5.3-2
libopenmpt0t64:amd64 0.7.13-1+b1
libopenni2-0:amd64 2.2.0.33+dfsg-18+b2
libopus0:amd64 1.5.2-2
liborc-0.4-0t64:amd64 1:0.4.41-1
liborcus-0.18-0:amd64 0.19.2-6+b1
liborcus-parser-0.18-0:amd64 0.19.2-6+b1
libp11-kit0:amd64 0.25.5-3
libpackage-stash-perl 0.40-1
libpackage-stash-xs-perl:amd64 0.30-1+b4
libpagemaker-0.0-0:amd64 0.0.4-1+b2
libpam-gnome-keyring:amd64 48.0-1
libpam-modules:amd64 1.7.0-5
libpam-modules-bin 1.7.0-5
libpam-runtime 1.7.0-5
libpam-systemd:amd64 257.7-1
libpam-wtmpdb:amd64 0.73.0-3
libpam0g:amd64 1.7.0-5
libpango-1.0-0:amd64 1.56.3-1
libpangocairo-1.0-0:amd64 1.56.3-1
libpangoft2-1.0-0:amd64 1.56.3-1
libpangomm-1.4-1v5:amd64 2.46.4-1+b2
libpangoxft-1.0-0:amd64 1.56.3-1
libpaper-utils 2.2.5-0.3+b2
libpaper2:amd64 2.2.5-0.3+b2
libparallel-forkmanager-perl 2.03-1
libparams-classify-perl:amd64 0.015-2+b4
libparse-recdescent-perl 1.967015+dfsg-4
libparted2t64:amd64 3.6-5
libpathplan4:amd64 2.42.4-3
libpcap0.8t64:amd64 1.10.5-2
libpcaudio0:amd64 1.3-1
libpci3:amd64 1:3.13.0-2
libpciaccess0:amd64 0.17-3+b3
libpcre2-16-0:amd64 10.46-1~deb13u1
libpcre2-32-0:amd64 10.46-1~deb13u1
libpcre2-8-0:amd64 10.46-1~deb13u1
libpcsclite1:amd64 2.3.3-1
libpdfbox-java 1:1.8.16-5
libpeas-1.0-0:amd64 1.36.0-3+b4
libpeas-common 1.36.0-3
libperl5.40:amd64 5.40.1-6
libpfm4:amd64 4.13.0+git99-gc5587f9-1
libpgm-5.3-0t64:amd64 5.3.128~dfsg-2.1+b1
libpipeline1:amd64 1.5.8-1
libpipewire-0.3-0t64:amd64 1.4.2-1
libpipewire-0.3-common 1.4.2-1
libpipewire-0.3-modules:amd64 1.4.2-1
libpixman-1-0:amd64 0.44.0-3
libplacebo349:amd64 7.349.0-3
libplist-2.0-4:amd64 2.6.0-2+b1
libplymouth5:amd64 24.004.60-5
libpmem1:amd64 1.13.1-1.1+b1
libpng16-16t64:amd64 1.6.48-1
libpocketsphinx3:amd64 0.8+5prealpha+1-15+b4
libpolkit-agent-1-0:amd64 126-2
libpolkit-gobject-1-0:amd64 126-2
libpoppler-cpp2:amd64 25.03.0-5
libpoppler-glib8t64:amd64 25.03.0-5
libpoppler147:amd64 25.03.0-5
libpopt0:amd64 1.19+dfsg-2
libpostproc58:amd64 7:7.1.1-1+b1
libpotrace0:amd64 1.16-2+b2
libproc2-0:amd64 2:4.0.4-9
libprotobuf-c1:amd64 1.5.1-1
libprotobuf32t64:amd64 3.21.12-11
libproxy1v5:amd64 0.5.9-1
libpsl5t64:amd64 0.21.2-1.1+b1
libptexenc1:amd64 2024.20240313.70630+ds-6
libpthreadpool0:amd64 0.0~git20240616.560c60d-1
libpulse-mainloop-glib0:amd64 17.0+dfsg1-2+b1
libpulse0:amd64 17.0+dfsg1-2+b1
libpython3-stdlib:amd64 3.13.5-1
libpython3.13:amd64 3.13.5-2
libpython3.13-minimal:amd64 3.13.5-2
libpython3.13-stdlib:amd64 3.13.5-2
libqmi-glib5:amd64 1.36.0-1
libqmi-proxy 1.36.0-1
libqmi-utils 1.36.0-1
libqpdf30:amd64 12.2.0-1
libqrencode4:amd64 4.1.1-2
libqrtr-glib0:amd64 1.2.2-1+b2
libqt5core5t64:amd64 5.15.15+dfsg-6
libqt5dbus5t64:amd64 5.15.15+dfsg-6
libqt5gui5t64:amd64 5.15.15+dfsg-6
libqt5network5t64:amd64 5.15.15+dfsg-6
libqt5positioning5:amd64 5.15.15+dfsg-3+b1
libqt5printsupport5t64:amd64 5.15.15+dfsg-6
libqt5qml5:amd64 5.15.15+dfsg-3
libqt5qmlmodels5:amd64 5.15.15+dfsg-3
libqt5quick5:amd64 5.15.15+dfsg-3
libqt5quickwidgets5:amd64 5.15.15+dfsg-3
libqt5svg5:amd64 5.15.15-2
libqt5waylandclient5:amd64 5.15.15-3
libqt5waylandcompositor5:amd64 5.15.15-3
libqt5webchannel5:amd64 5.15.15-2
libqt5webengine-data 5.15.18+dfsg-2
libqt5webenginecore5:amd64 5.15.18+dfsg-2+b1
libqt5webenginewidgets5:amd64 5.15.18+dfsg-2+b1
libqt5widgets5t64:amd64 5.15.15+dfsg-6
libqt6core5compat6:amd64 6.8.2-3+b1
libqt6core6t64:amd64 6.8.2+dfsg-9
libqt6dbus6:amd64 6.8.2+dfsg-9
libqt6gui6:amd64 6.8.2+dfsg-9
libqt6multimedia6:amd64 6.8.2-8
libqt6network6:amd64 6.8.2+dfsg-9
libqt6opengl6:amd64 6.8.2+dfsg-9
libqt6positioning6:amd64 6.8.2-3
libqt6printsupport6:amd64 6.8.2+dfsg-9
libqt6qml6:amd64 6.8.2+dfsg-7
libqt6qmlmeta6:amd64 6.8.2+dfsg-7
libqt6qmlmodels6:amd64 6.8.2+dfsg-7
libqt6qmlworkerscript6:amd64 6.8.2+dfsg-7
libqt6quick6:amd64 6.8.2+dfsg-7
libqt6quickwidgets6:amd64 6.8.2+dfsg-7
libqt6svg6:amd64 6.8.2-3
libqt6waylandclient6:amd64 6.8.2-4
libqt6waylandcompositor6:amd64 6.8.2-4
libqt6webchannel6:amd64 6.8.2-2
libqt6webengine6-data 6.8.2+dfsg-4
libqt6webenginecore6:amd64 6.8.2+dfsg-4
libqt6webenginecore6-bin 6.8.2+dfsg-4
libqt6webenginewidgets6:amd64 6.8.2+dfsg-4
libqt6widgets6:amd64 6.8.2+dfsg-9
libqt6wlshellintegration6:amd64 6.8.2-4
libqt6xml6:amd64 6.8.2+dfsg-9
libquadmath0:amd64 14.2.0-19
libqxp-0.0-0 0.0.2-1+b4
librabbitmq4:amd64 0.15.0-1
librados2 18.2.7+ds-1
libraptor2-0:amd64 2.0.16-6
libraqm0:amd64 0.10.2-1
librasqal3t64:amd64 0.9.33-2.1+b2
librav1e0.7:amd64 0.7.1-9+b2
libraw1394-11:amd64 2.1.2-2+b2
libraw23t64:amd64 0.21.4-2
librbd1 18.2.7+ds-1
librda-common 0.0.5-1.1
librda0:amd64 0.0.5-1.1+b2
librdf0t64:amd64 1.0.17-4+b1
librdmacm1t64:amd64 56.1-1
libre2-11:amd64 20240702-3+b1
libreadline8t64:amd64 8.2-6
libregexp-assemble-perl 0.38-2
libregexp-common-perl 2024080801-1
libreiserfscore0t64 1:3.6.27-9
libreoffice-base-core 4:25.2.3-2
libreoffice-calc 4:25.2.3-2
libreoffice-common 4:25.2.3-2
libreoffice-core 4:25.2.3-2
libreoffice-draw 4:25.2.3-2
libreoffice-gnome 4:25.2.3-2
libreoffice-gtk3 4:25.2.3-2
libreoffice-help-common 4:25.2.3-2
libreoffice-help-en-us 4:25.2.3-2
libreoffice-help-zh-cn 4:25.2.3-2
libreoffice-impress 4:25.2.3-2
libreoffice-l10n-zh-cn 4:25.2.3-2
libreoffice-math 4:25.2.3-2
libreoffice-style-colibre 4:25.2.3-2
libreoffice-style-elementary 4:25.2.3-2
libreoffice-uiconfig-calc 4:25.2.3-2
libreoffice-uiconfig-common 4:25.2.3-2
libreoffice-uiconfig-draw 4:25.2.3-2
libreoffice-uiconfig-impress 4:25.2.3-2
libreoffice-uiconfig-math 4:25.2.3-2
libreoffice-uiconfig-writer 4:25.2.3-2
libreoffice-writer 4:25.2.3-2
librevenge-0.0-0:amd64 0.0.5-3+b2
librist4:amd64 0.2.11+dfsg-1
libroc0.4:amd64 0.4.0+dfsg-5
librole-tiny-perl 2.002004-1
librpm-sequoia-1:amd64 1.8.0-2
librpm10:amd64 4.20.1+dfsg-3
librpmio10:amd64 4.20.1+dfsg-3
librsvg2-2:amd64 2.60.0+dfsg-1
librsvg2-common:amd64 2.60.0+dfsg-1
librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b5
librubberband2:amd64 3.3.0+dfsg-2+b3
libruby:amd64 1:3.3+b1
libruby3.3:amd64 3.3.8-2
libsamplerate0:amd64 0.2.2-4+b2
libsane-common 1.3.1-3
libsane1:amd64 1.3.1-3+b1
libsasl2-2:amd64 2.1.28+dfsg1-9
libsasl2-modules:amd64 2.1.28+dfsg1-9
libsasl2-modules-db:amd64 2.1.28+dfsg1-9
libsbc1:amd64 2.1-1
libsdl2-2.0-0:amd64 2.32.4+dfsg-1
libseccomp2:amd64 2.6.0-2
libsecret-1-0:amd64 0.21.7-1
libsecret-common 0.21.7-1
libselinux1:amd64 3.8.1-1
libsemanage-common 3.8.1-1
libsemanage2:amd64 3.8.1-1
libsensors-config 1:3.6.2-2
libsensors5:amd64 1:3.6.2-2
libsepol2:amd64 3.8.1-1
libserd-0-0:amd64 0.32.4-1
libsframe1:amd64 2.44-3
libsharpyuv0:amd64 1.5.0-0.1
libshine3:amd64 3.1.1-2+b2
libshout3:amd64 2.4.6-1+b3
libsidplay1v5:amd64 1.36.60-1+b2
libsigc++-2.0-0v5:amd64 2.12.1-3
libslang2:amd64 2.3.3-5+b2
libslirp0:amd64 4.8.0-1+b1
libsm6:amd64 2:1.2.6-1
libsmartcols1:amd64 2.41-5
libsmbclient0:amd64 2:4.22.3+dfsg-4
libsnappy1v5:amd64 1.2.2-1
libsndfile1:amd64 1.2.2-2+b1
libsnmp-base 5.9.4+dfsg-2
libsnmp40t64:amd64 5.9.4+dfsg-2
libsodium23:amd64 1.0.18-1+b2
libsonic0:amd64 0.2.0-13+b1
libsord-0-0:amd64 0.16.18-1
libsoundtouch1:amd64 2.4.0+ds-1
libsoup-2.4-1:amd64 2.74.3-10.1
libsoup-3.0-0:amd64 3.6.5-3
libsoup-3.0-common 3.6.5-3
libsoup2.4-common 2.74.3-10.1
libsource-highlight-common 3.1.9-4.3
libsource-highlight4t64:amd64 3.1.9-4.3+b1
libsoxr0:amd64 0.1.3-4+b2
libspa-0.2-bluetooth:amd64 1.4.2-1
libspa-0.2-modules:amd64 1.4.2-1
libspandsp2t64:amd64 0.0.6+dfsg-2.2
libspectre1:amd64 0.2.12-1+b2
libspeechd-module0:amd64 0.12.0-5
libspeechd2:amd64 0.12.0-5
libspeex1:amd64 1.2.1-3
libspeexdsp1:amd64 1.2.1-3
libsphinxbase3t64:amd64 0.8+5prealpha+1-21+b1
libspice-server1:amd64 0.15.2-1+b1
libspreadsheet-parseexcel-perl 0.6600-1
libspreadsheet-writeexcel-perl 2.40-4
libsqlite3-0:amd64 3.46.1-7
libsratom-0-0:amd64 0.6.18-1
libsrt1.5-gnutls:amd64 1.5.4-1
libsrtp2-1:amd64 2.7.0-3
libss2:amd64 1.47.2-3+b3
libssh-4:amd64 0.11.2-1
libssh2-1t64:amd64 1.11.1-1
libssl-dev:amd64 3.5.1-1
libssl3t64:amd64 3.5.1-1
libstaroffice-0.0-0:amd64 0.0.7-1+b2
libstartup-notification0:amd64 0.12-8
libstdc++-14-dev:amd64 14.2.0-19
libstdc++6:amd64 14.2.0-19
libstemmer0d:amd64 2.2.0-4+b2
libsub-exporter-progressive-perl 0.001013-3
libsub-identify-perl 0.14-3+b3
libsub-name-perl:amd64 0.28-1
libsub-quote-perl 2.006008-1
libsuitesparseconfig7:amd64 1:7.10.1+dfsg-1
libsvtav1enc2:amd64 2.3.0+dfsg-1
libswresample5:amd64 7:7.1.1-1+b1
libswscale8:amd64 7:7.1.1-1+b1
libsynctex2:amd64 2024.20240313.70630+ds-6
libsystemd-shared:amd64 257.7-1
libsystemd0:amd64 257.7-1
libtag2:amd64 2.0.2-2
libtalloc2:amd64 2:2.4.3+samba4.22.3+dfsg-4
libtasn1-6:amd64 4.20.0-2
libtcl8.6:amd64 8.6.16+dfsg-1
libtdb1:amd64 2:1.4.13+samba4.22.3+dfsg-4
libteamdctl0:amd64 1.31-1+b2
libteckit0:amd64 2.5.12+ds1-1+b1
libtevent0t64:amd64 2:0.16.2+samba4.22.3+dfsg-4
libtexlua53-5:amd64 2024.20240313.70630+ds-6
libtext-charwidth-perl:amd64 0.04-11+b4
libtext-iconv-perl:amd64 1.7-8+b4
libtext-wrapi18n-perl 0.06-10
libthai-data 0.1.29-2
libthai0:amd64 0.1.29-2+b1
libtheora0:amd64 1.2.0~alpha1+dfsg-6
libtheoradec1:amd64 1.2.0~alpha1+dfsg-6
libtheoraenc1:amd64 1.2.0~alpha1+dfsg-6
libtie-ixhash-perl 1.23-4
libtiff6:amd64 4.7.0-3
libtimedate-perl 2.3300-2
libtinfo6:amd64 6.5+20250216-2
libtirpc-common 1.3.6+ds-1
libtirpc3t64:amd64 1.3.6+ds-1
libtk8.6:amd64 8.6.16-1
libtomlplusplus3t64:amd64 3.4.0+ds-0.2+b1
libtool 2.5.4-4
libtry-tiny-perl 0.32-1
libts0t64:amd64 1.22-1.1+b1
libtsan2:amd64 14.2.0-19
libtwolame0:amd64 0.4.0-2+b2
libtypes-serialiser-perl 1.01-1
libubsan1:amd64 14.2.0-19
libuchardet0:amd64 0.0.8-1+b2
libudev1:amd64 257.7-1
libudfread0:amd64 1.1.2-1+b2
libudisks2-0:amd64 2.10.1-12.1
libumfpack6:amd64 1:7.10.1+dfsg-1
libunibreak6:amd64 6.1-3
libunicode-map-perl 0.112-13+b5
libunistring5:amd64 1.3-2
libuno-cppu3t64 4:25.2.3-2
libuno-cppuhelpergcc3-3t64 4:25.2.3-2
libuno-purpenvhelpergcc3-3t64 4:25.2.3-2
libuno-sal3t64 4:25.2.3-2
libuno-salhelpergcc3-3t64 4:25.2.3-2
libunwind8:amd64 1.8.1-0.1
libupower-glib3:amd64 1.90.9-1
liburcu8t64:amd64 0.15.2-2
liburi-perl 5.30-1
liburing2:amd64 2.9-1
libusb-1.0-0:amd64 2:1.0.28-1
libusbmuxd-2.0-7:amd64 2.1.0-1+b1
libusbredirparser1t64:amd64 0.15.0-1
libutempter0:amd64 1.2.1-4
libuuid1:amd64 2.41-5
libuv1t64:amd64 1.50.0-2
libv4l-0t64:amd64 1.30.1-1
libv4lconvert0t64:amd64 1.30.1-1
libva-drm2:amd64 2.22.0-3
libva-x11-2:amd64 2.22.0-3
libva2:amd64 2.22.0-3
libvariable-magic-perl 0.64-1+b1
libvdeplug2t64:amd64 4.0.1-5.1+b1
libvdpau-va-gl1:amd64 0.4.2-2
libvdpau1:amd64 1.5-3+b1
libvidstab1.1:amd64 1.1.0-2+b2
libvirglrenderer1:amd64 1.1.0-2
libvisio-0.1-1:amd64 0.1.7-1+b5
libvisual-0.4-0:amd64 0.4.2-2+b2
libvo-aacenc0:amd64 0.1.3-3
libvo-amrwbenc0:amd64 0.1.3-2+b2
libvolume-key1:amd64 0.3.12-9
libvorbis0a:amd64 1.3.7-3
libvorbisenc2:amd64 1.3.7-3
libvorbisfile3:amd64 1.3.7-3
libvpl2 1:2.14.0-1+b1
libvpx9:amd64 1.15.0-2.1
libvte-2.91-0:amd64 0.80.1-1
libvte-2.91-common 0.80.1-1
libvulkan1:amd64 1.4.309.0-1
libwacom-common 2.14.0-1
libwacom9:amd64 2.14.0-1
libwavpack1:amd64 5.8.1-1
libwayland-client0:amd64 1.23.1-3
libwayland-cursor0:amd64 1.23.1-3
libwayland-egl1:amd64 1.23.1-3
libwayland-server0:amd64 1.23.1-3
libwbclient0:amd64 2:4.22.3+dfsg-4
libwebkit2gtk-4.1-0:amd64 2.48.3-1
libwebp7:amd64 1.5.0-0.1
libwebpdemux2:amd64 1.5.0-0.1
libwebpmux3:amd64 1.5.0-0.1
libwebrtc-audio-processing-1-3:amd64 1.3-3+b1
libwildmidi2:amd64 0.4.3-1+b3
