7zip 24.09+dfsg-8
fonts-noto 20201225-2
fonts-noto-cjk 1:20240730+repack1-1
fonts-noto-cjk-extra 1:20240730+repack1-1
fonts-noto-color-emoji 2.048-1
fonts-noto-core 20201225-2
fonts-noto-extra 20201225-2
fonts-noto-mono 20201225-2
fonts-noto-ui-core 20201225-2
fonts-noto-ui-extra 20201225-2
fonts-noto-unhinted 20201225-2
fonts-opensymbol 4:102.12+LibO25.2.3-2
fonts-quicksand 0.2016-2.1
fonts-symbola 2.60-2
fonts-texgyre 20180621-6
fonts-texgyre-math 20180621-6
fonts-urw-base35 20200910-8
fuse3 3.17.2-3
g++ 4:14.2.0-1
g++-14 14.2.0-19
g++-14-x86-64-linux-gnu 14.2.0-19
g++-x86-64-linux-gnu 4:14.2.0-1
gcc 4:14.2.0-1
gcc-14 14.2.0-19
gcc-14-base:amd64 14.2.0-19
gcc-14-x86-64-linux-gnu 14.2.0-19
gcc-x86-64-linux-gnu 4:14.2.0-1
gcr 3.41.2-3
gcr4 4.4.0.1-3
gdb 16.3-1
genisoimage 9:1.1.11-4
geoclue-2.0 2.7.2-2
gettext-base 0.23.1-2
ghostscript 10.05.1~dfsg-1
gimp 3.0.4-3
gimp-data 3.0.4-3
gir1.2-atk-1.0:amd64 2.56.2-1
gir1.2-atspi-2.0:amd64 2.56.2-1
gir1.2-babl-0.1:amd64 1:0.1.114-2
gir1.2-eom-1.0 1.26.1-1+b1
gir1.2-freedesktop:amd64 1.84.0-1
gir1.2-gdkpixbuf-2.0:amd64 2.42.12+dfsg-4
gir1.2-gegl-0.4:amd64 1:0.4.62-2
gir1.2-gimp-3.0:amd64 3.0.4-3
gir1.2-girepository-2.0:amd64 1.84.0-1
gir1.2-glib-2.0:amd64 2.84.3-1
gir1.2-gstreamer-1.0:amd64 1.26.2-2
gir1.2-gtk-3.0:amd64 3.24.49-3
gir1.2-gtksource-4:amd64 4.8.4-6
gir1.2-harfbuzz-0.0:amd64 10.2.0-1+b1
gir1.2-matemenu-2.0:amd64 1.26.1-1+b2
gir1.2-pango-1.0:amd64 1.56.3-1
gir1.2-peas-1.0:amd64 1.36.0-3+b4
gir1.2-pluma-1.0 1.26.1-2.1
gir1.2-wnck-3.0:amd64 43.2-1
git 1:2.47.2-0.2
git-man 1:2.47.2-0.2
glib-networking:amd64 2.80.1-1
glib-networking-common 2.80.1-1
glib-networking-services 2.80.1-1
gnome-accessibility-themes 3.28-4
gnome-icon-theme 3.12.0-6
gnome-keyring 48.0-1
gnome-keyring-pkcs11:amd64 48.0-1
gnome-themes-extra:amd64 3.28-4
gnome-themes-extra-data 3.28-4
gnupg 2.4.7-21
gnupg-l10n 2.4.7-21
gnupg-utils 2.4.7-21+b3
gnuplot 6.0.2+dfsg1-1
gnuplot-data 6.0.2+dfsg1-1
gnuplot-qt 6.0.2+dfsg1-1
goldendict-ng 25.06.0-2
gpg 2.4.7-21+b3
gpg-agent 2.4.7-21+b3
gpg-wks-client 2.4.7-21+b3
gpgconf 2.4.7-21+b3
gpgsm 2.4.7-21+b3
gpgv 2.4.7-21+b3
graphviz 2.42.4-3
grep 3.11-4
groff-base 1.23.0-9
grub-common 2.12-9
grub-pc 2.12-9
grub-pc-bin 2.12-9
grub2-common 2.12-9
gsettings-desktop-schemas 48.0-1
gstreamer1.0-gl:amd64 1.26.2-1
gstreamer1.0-gtk3:amd64 1.26.2-1
